YEAR,DISTRICT,UPAZILA/THANA,EIIN,INSTITUTE NAME,CLASS_SIX_AGE_UNDER11,CLASS_SIX_AGE11,CLASS_SIX_AGE12,CLASS_SIX_AGE13,CLASS_SIX_AGE14,CLASS_SIX_AGE15,CLASS_SIX_AGE_UPER15,CLASS_SEVEN_AGE_UNDER11,CLASS_SEVEN_AGE11,CLASS_SEVEN_AGE12,CLASS_SEVEN_AGE13,CLASS_SEVEN_AGE14,CLASS_SEVEN_AGE15,CLASS_SEVEN_AGE_UPER15,CLASS_EIGHT_AGE_UNDER11,CLASS_EIGHT_AGE11,CLASS_EIGHT_AGE12,CLASS_EIGHT_AGE13,CLASS_EIGHT_AGE14,CLASS_EIGHT_AGE15,CLASS_EIGHT_AGE_UPER15,CLASS_NINE_AGE_UNDER11,CLASS_NINE_AGE11,CLASS_NINE_AGE12,CLASS_NINE_AGE13,CLASS_NINE_AGE14,CLASS_NINE_AGE15,CLASS_NINE_AGE_UPER15,CLASS_TEN_AGE_UNDER11,CLASS_TEN_AGE11,CLASS_TEN_AGE12,CLASS_TEN_AGE13,CLASS_TEN_AGE14,CLASS_TEN_AGE15,CLASS_TEN_AGE_UPER15
2016,BARGUNA,AMTALI,100003,DAKSHIN KATHALIA TAZEM ALI SECONDARY SCHOOL,21,70,30,,,,,,,60,35,10,,,,,,50,20,11,,,,,,25,7,10,,,,,,30,16
2016,BARGUNA,AMTALI,100009,LOCHA JUUNIOR HIGH SCHOOL,30,20,10,,,,,,26,25,1,,,,,,12,20,6,,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100011,AMTALI A.K. PILOT HIGH SCHOOL,80,88,78,,,,,,70,65,68,,,,,,87,82,58,,,,,,70,75,61,,,,,,58,59,60
2016,BARGUNA,AMTALI,100012,CHOTONILGONG HIGH SCHOOL,15,55,14,,,,,,12,50,10,,,,,,15,34,14,,,,,,5,15,5,,,,,,10,50,5
2016,BARGUNA,AMTALI,100014,SHAKHRIA HIGH SCHOOL,73,,,,,,,,70,,,,,,,,62,,,,,,,,47,,,,,,,,61,,
2016,BARGUNA,AMTALI,100015,GULSHA KHALIISHAQUE HIGH SCHOOL,,64,,,,,,,,102,,,,,,,,65,,,,,,,,45,,,,,,,,72,
2016,BARGUNA,AMTALI,100016,CHARAKGACHIA SECONDARY SCHOOL,,106,,,,,,,,117,,,,,,,,105,,,,,,,,109,,,,,,,,78,
2016,BARGUNA,AMTALI,100017,EAST CHILA RAHMANIA HIGH SCHOOL,40,27,,,,,,,8,62,10,,,,,,15,40,2,,,,,,6,28,2,,,,,,3,35,
2016,BARGUNA,AMTALI,100018,TARIKATA SECONDARY SCHOOL,45,60,,,,,,,53,64,,,,,,,41,50,,,,,,36,30,,,,,,,35,34,,
2016,BARGUNA,AMTALI,100019,CHILA HASHEM BISWAS HIGH SCHOOL,20,80,8,,,,,,20,60,6,,,,,,,15,70,5,,,,,,20,40,,,,,,,11,35
2016,BARGUNA,AMTALI,100020,CHALAVANGA HIGH SCHOOL PRO,20,60,,,,,,,25,50,,,,,,,20,40,,,,,,,18,42,,,,,,,15,30,
2016,BARGUNA,AMTALI,100021,CHUNAKHALI HIGH SCHOOL,143,,,,,,,,141,,,,,,,,139,,,,,,,,123,,,,,,,,104,,
2016,BARGUNA,AMTALI,100022,MAFIZ UDDIN GIRLS PILOT HIGH SCHOOL,43,102,31,,,,,22,67,32,21,,,,,,76,56,20,,,,,,,61,32,13,,,,,36,51,16
2016,BARGUNA,AMTALI,100023,GOZ-KHALI(MLT) HIGH SCHOOL,25,80,,,,,,,,84,20,,,,,,,100,15,,,,,,,60,4,,,,,,50,6,
2016,BARGUNA,AMTALI,100024,KAUNIA IBRAHIM ACADEMY,83,,,,,,,,105,,,,,,,,63,,,,,,,,19,,,,,,,,55,,
2016,BARGUNA,AMTALI,100026,ARPAN GASHIA HIGH SCHOOL,,107,,,,,,,,127,,,,,,,,78,,,,,,,,45,,,,,,,,72,
2016,BARGUNA,AMTALI,100028,SHAHEED SOHRAWARDI SECONDARY SCHOOL,100,21,,,,,,,114,20,,,,,,,88,,,,,,,,5,45,,,,,,,6,40,
2016,BARGUNA,AMTALI,100029,KALIBARI JR GIRLS HIGH SCHOOL,,38,4,,,,,,,37,4,,,,,,,36,4,,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100030,HALDIA GRUDAL BANGO BANDU HIGH SCHOOL,,30,,,,,,,,30,,,,,,,,20,,,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100031,KUKUA ADARSHA HIGH SCHOOL,0,6,137,,,,,,,3,150,,,,,,,6,104,,,,,,,2,63,,,,,,,3,86
2016,BARGUNA,AMTALI,100032,GAZIPUR BANDAIR HIGH SCHOOL,125,,,,,,,,,134,,,,,,,,113,,,,,,,,110,,,,,,,,85,
2016,BARGUNA,AMTALI,100033,SOUTH RAOGHA NUR AL AMIN SECONDARY SCHOOL,47,67,,,,,,,,51,19,,,,,,,50,24,,,,,,,,46,14,,,,,,30,13
2016,BARGUNA,AMTALI,100034,KHEKUANI HIGH SCHOOL,55,12,8,,,,,,50,22,10,,,,,,30,32,4,,,,,,12,30,,,,,,,40,17,
2016,BARGUNA,AMTALI,100035,KEWABUNIA SECONDARY SCHOOL,,,50,28,,,,,,25,55,11,,,,,,42,36,,,,,,25,35,,,,,,,60,22,
2016,BARGUNA,AMTALI,100037,ATHARAGACHIA SECONDARY SCHOOL,70,8,,,,,,,,70,3,,,,,,,60,,,,,,,,38,2,,,,,,,30,8
2016,BARGUNA,AMTALI,100038,KALAGACHIA YUNUS A K JUNIOR HIGH SCHOOL,20,25,10,5,,,,0,20,25,10,3,,,,,15,10,5,5,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100039,HALIMA KHATUN G R GIRLS HIGH SCHOOL,25,10,,,,,,,26,9,,,,,,,,24,1,,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100041,PATAKTA NURUL HAQUE JUNIOR HIGH SCHOOL,50,12,,,,,,,40,18,,,,,,,30,16,,,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100042,K H AKOTA JUNIOR HIGH SCHOOL,18,40,,,,,,,30,25,,,,,,,32,13,,,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100044,GHATKHALI HIGH SCHOOL,,94,,,,,,,,104,,,,,,,,62,,,,,,,,21,,,,,,,,56,23
2016,BARGUNA,AMTALI,100046,KHAGDON JUNIOR HIGH SCHOOL,10,43,,,,,,,,30,12,,,,,,,37,18,,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100048,MODDHO CHANDRA JUNIOR HIGH SCHOOL,,60,,,,,,,,52,,,,,,,,45,,,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100050,DAKSHIN TAKTABUIA SECONDARY SCHOOL,27,72,48,,,,,,55,30,17,,,,,,30,40,17,,,,,,,41,50,,,,,,25,30,
2016,BARGUNA,AMTALI,100051,UTTAR TIAKHALI JUNIOR GIRLS HIGH SCHOOL,50,17,,,,,,,,43,12,,,,,,,34,6,,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100060,CHAWRA CHANDRA JUNIOR HIGH SCHOOL,20,30,,,,,,,30,20,,,,,,,24,26,,,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100063,APATUNNESA JUNIOR ACADEMY,30,,,,,,,,40,,,,,,,,35,,,,,,,,,,,,,,,,,,
2016,BARGUNA,AMTALI,100116,UTTAR SONAKHALI SCHOOL & COLLEGE,124,,,,,,,,70,47,,,,,,,30,20,,,,,,,,20,13,,,,,,,20,11
2016,BARGUNA,AMTALI,131151,AMTALI MU. SECONDARY SCHOOL,127,,,,,,,,117,,,,,,,,113,,,,,,,,90,,,,,,,,91,,
2016,BARGUNA,AMTALI,134886,SOUTH BENGAL IDEAL SCHOOL AND COLLEGE,,23,,,,,,,,37,,,,,,,,10,,,,,,,,,,,,,,,,,
2016,BARGUNA,BAMNA,100117,BUKABUNIA ADASHA SECONDARY SCHOOL,14,45,30,10,6,1,,,5,49,41,6,,,,,8,51,36,11,,,,,13,16,19,4,,,,,12,23,28
2016,BARGUNA,BAMNA,100118,BAMNA SARWARJAN MODEL  SCHOOL AND COLLEGE,130,102,,,,,,,110,125,,,,,,,75,131,,,,,,,50,51,,,,,,,,70,60
2016,BARGUNA,BAMNA,100119,BAMNA ASMATUNNESSA PILOT SECONDARY GIRLS SCHOOL,10,110,70,11,,,,,15,120,40,,,,,,10,105,35,,,,,,10,90,18,,,,,,40,80,
2016,BARGUNA,BAMNA,100120,HOGALPATI DOUATALA UNION SECONDARY SCHOOL,20,21,0,0,0,0,0,0,23,27,0,0,0,0,0,0,20,17,0,0,0,0,0,0,19,18,0,0,0,0,0,0,12,11,0
2016,BARGUNA,BAMNA,100121,LATABUNIA SECONDARY SCHOOL,7,28,4,,,,,,,45,10,,,,,,,36,19,,,,,,8,24,,,,,,,12,34,8
2016,BARGUNA,BAMNA,100122,JAFRAKHALI HIGH SCHOOL,,100,7,,,,,,,115,10,,,,,,,109,3,,,,,,,53,5,,,,,,,77,3
2016,BARGUNA,BAMNA,100123,RAMNA SHER-E BANGLA SAMABAYA SECONDARY SCHOOL,0,40,35,0,0,0,0,0,0,30,38,0,0,0,0,0,0,31,34,0,0,0,0,0,0,21,25,0,0,0,0,0,0,24,27
2016,BARGUNA,BAMNA,100124,HALDA DOUATALA SAMABAY MULTILATERAL SECONDARY SCHOOL,70,73,,,,,,,,80,85,,,,,,,83,80,,,,,,,68,50,,,,,,,75,50
2016,BARGUNA,BAMNA,100125,UTTAR KAKCHIRA SECONDARY SCHOOL,101,,,,,,,,122,,,,,,,,120,,,,,,,,91,,,,,,,,55,,
2016,BARGUNA,BAMNA,100126,J C L JUNIOR HIGH SCHOOL,,48,4,,,,,,,52,4,,,,,,,25,2,,,,,,,9,2,,,,,,,9,3
2016,BARGUNA,BAMNA,100127,KHOLPATUA ADARSHA JUNIOR SECONDARY SCHOOL,15,73,,,,,,,,75,10,,,,,,,35,45,,,,,,,,30,,,,,,,,20
2016,BARGUNA,BARGUNA SADAR,100144,MOHOSIN UDDIN MEMORIAL SECONDARY SCHOOL,72,,,,,,,,65,,,,,,,,52,,,,,,,,37,,,,,,,,25,,
2016,BARGUNA,BARGUNA SADAR,100145,RAKHAINPARA B.P.S JUNIOR SECONDRY SCHOOL,,30,6,,,,,,,30,3,,,,,,,25,10,,,,,,,10,10,,,,,,5,10,
2016,BARGUNA,BARGUNA SADAR,100146,FULJHURE M. L SECONDARY SCHOOL,35,100,,,,,,,,28,102,,,,,,,100,21,,,,,,,90,8,,,,,,,82,8
2016,BARGUNA,BARGUNA SADAR,100147,LEMUA IDEAL HIGH SCHOOL,20,42,,,,,,,,22,40,,,,,,,50,17,,,,,,,20,10,,,,,,20,10,
2016,BARGUNA,BARGUNA SADAR,100148,UTTER  KUMAR KHALI  J.R.  GIRLS  SCHOOL,10,40,,,,,,,,20,40,,,,,,18,42,,,,,,,,,,,,,,,,,
2016,BARGUNA,BARGUNA SADAR,100149,DEMA GULISHA KHALI HAKMIA HIGH SCHOOL,,107,,,,,,,2,116,,,,,,,82,19,,,,,,,97,,,,,,,,60,,
2016,BARGUNA,BARGUNA SADAR,100151,NIMTOLI AZIZABAD C M SECONDARY GIRL'S SCHOOL,8,52,,,,,,,,42,12,,,,,,,32,12,,,,,,,31,5,,,,,,,22,
2016,BARGUNA,BARGUNA SADAR,100152,CHALITATALI KB HIGH SCHOOL,24,18,18,,,,,,26,24,20,5,,,,,38,20,8,10,,,,13,14,7,6,,,,34,10,5,5,
2016,BARGUNA,BARGUNA SADAR,100153,BABUGANJ ADARSHA SECONDARY SCHOOL,,50,12,,,,,,,,62,15,,,,,,,,50,8,,,,,,,100,,,,,,,75
2016,BARGUNA,BARGUNA SADAR,100154,BARGUNA ZILLA SCHOOL,27,112,25,,,,,,28,179,12,,,,,,31,154,14,,,,,,178,44,,,,,,,169,30,
2016,BARGUNA,BARGUNA SADAR,100155,BARGUNA GOVT GIRL'S HIGH SCHOOL,30,125,20,,,,,,50,190,23,,,,,,20,175,25,,,,,,60,125,28,,,,,,37,195,5
2016,BARGUNA,BARGUNA SADAR,100156,GUDI GHATA HIGH SCHOOL,70,15,,,,,,,50,19,,,,,,,60,29,,,,,,,,40,13,,,,,,,53,1
2016,BARGUNA,BARGUNA SADAR,100157,BARGUNA COLLEGIATE HIGH SCHOOL,20,68,30,22,,,,,9,109,11,,,,,6,19,110,10,2,,,,20,109,11,10,1,,,,23,40,30,2
2016,BARGUNA,BARGUNA SADAR,100158,BARGUNA ADARSHA GIRL'S HIGH SCHOOL,92,,,,,,,,80,,,,,,,,44,,,,,,,,47,,,,,,,,46,,
2016,BARGUNA,BARGUNA SADAR,100159,BARGUNA D.K.P SECONDARY  SCHOOL,,42,19,,,,,,,55,17,,,,,,,65,15,,,,,,45,15,,,,,,,42,14,
2016,BARGUNA,BARGUNA SADAR,100160,LAKURTALA SONAR BANGLA HIGH SCHOOL,60,7,,,,,,,65,5,,,,,,,70,10,,,,,,,,50,6,,,,,,,60,8
2016,BARGUNA,BARGUNA SADAR,100161,NASIMA MOZIBOR  GIRLS HIGH SCHOOL,,28,15,,,,,,,31,14,,,,,,,9,2,,,,,,,14,,,,,,,,18,
2016,BARGUNA,BARGUNA SADAR,100162,KARAITALA SONAKHALI GAGON MEMORIAL HIGH SCHOOL,73,61,,,,,,,90,58,,,,,,,,60,21,,,,,,,40,23,,,,,,,35,16
2016,BARGUNA,BARGUNA SADAR,100163,NALI MUSLIM HIGHER SECONDARY SCHOOL,25,51,10,,,,,,11,49,6,,,,,,13,34,5,,,,,,12,29,2,,,,,,5,58,5
2016,BARGUNA,BARGUNA SADAR,100164,TETUL BARIA HIGH SCHOOL,,73,2,,,,,,,95,,,,,,,,82,,,,,,,,59,,,,,,,,52,3
2016,BARGUNA,BARGUNA SADAR,100165,SHIALIA MI HIGH SCHOOL,4,38,,,,,,,,64,3,,,,,,,35,,,,,,,,36,1,,,,,,,23,1
2016,BARGUNA,BARGUNA SADAR,100166,NALI MAITHA HIGH SCHOOL,12,50,10,,,,,,10,48,10,,,,,,6,40,7,,,,,,7,33,3,,,,,,1,25,1
2016,BARGUNA,BARGUNA SADAR,100167,LEMUA KHAJURA PK. HIGH SCHOOL,51,10,,,,,,,86,8,,,,,,,,55,5,,,,,,10,50,,,,,,,30,34,
2016,BARGUNA,BARGUNA SADAR,100168,BAWALKER D K JR HIGH SCHOOL,35,24,1,,,,,,40,30,2,,,,,,45,40,3,,,,,,25,20,,,,,,,20,10,
2016,BARGUNA,BARGUNA SADAR,100169,PARIRKHAL HIGH SCHOOL,1,100,11,,,,,,,140,5,,,,,,,130,8,,,,,,,132,,,,,,,108,2,
2016,BARGUNA,BARGUNA SADAR,100170,AYLA SECONDARY SCHOOL,70,35,,,,,,,50,90,,,,,,,,78,47,,,,,,,38,43,,,,,,,65,21
2016,BARGUNA,BARGUNA SADAR,100171,BASHBUNIA HIGH SCHOOL,,82,,,,,,,,70,,,,,,,,,97,,,,,,,,70,,,,,,,,54
2016,BARGUNA,BARGUNA SADAR,100172,BURIRCHAR A.M.G HIGH SCHOOL,100,4,,,,,,,,111,12,,,,,,,,108,,,,,,,,49,,,,,,,,85
2016,BARGUNA,BARGUNA SADAR,100173,ROAD PARA SHAHID SMIRITY HIGH SCHOOL,12,40,26,17,,,,,35,45,24,4,,,,1,12,46,30,5,1,,,,18,35,5,2,,,,,19,36,6
2016,BARGUNA,BARGUNA SADAR,100174,AYLA PATAKA SONAR BANGLA HIGH SCHOOL,,35,30,,,,,,,35,25,,,,,,,25,20,,,,,,,50,28,,,,,,,29,25
2016,BARGUNA,BARGUNA SADAR,100175,DALVANGA B M HIGH SCHOOL,5,53,3,,,,,,6,40,4,,,,,,5,41,9,,,,,,2,26,3,,,,,,2,18,2
2016,BARGUNA,BARGUNA SADAR,100176,FUL DHALUA KATHAL TALI HIGH SCHOOL,24,30,38,,,,,,18,48,51,3,,,,18,52,22,1,,,,,37,40,12,1,,,,,29,35,10,
2016,BARGUNA,BARGUNA SADAR,100177,CHARAKGACHHIA PROGOTI HIGH SCHOOL,,9,35,6,,,,,,15,30,10,,,,,,14,25,,,,,,,12,17,8,,,,,,,30
2016,BARGUNA,BARGUNA SADAR,100178,AMTALI A.K. ADRSHA HIGH SCHOOL,71,24,,,,,,,68,27,,,,,,,57,20,,,,,,,57,20,,,,,,,52,22,
2016,BARGUNA,BARGUNA SADAR,100179,BARGUNA MAITHA HIGH SCHOOL,10,30,9,,,,,,8,35,16,,,,,,2,35,4,,,,,,,30,14,,,,,,9,20,3
2016,BARGUNA,BARGUNA SADAR,100180,UDAYAN  JUNIOR  HIGH SCHOOL,,7,14,2,,,,,2,10,8,1,,,,,1,6,8,1,,,,,,,,,,,,,,,
